阳痿 nan
乙肝 肝性脑病
乙肝 肝硬化
乙肝 腹膜炎
乙肝 消化道出血
乙肝 肺炎
癫痫 肾衰
癫痫 急性早幼粒细胞白血病
癫痫 抑郁症
月经不调 痛经
月经不调 经前期综合征
月经不调 多囊卵巢综合征
月经不调 黄褐斑
月经不调 粉刺
颈椎病 食管压迫型颈椎病
颈椎病 椎动脉型颈椎病
颈椎病 脊髓型颈椎病
颈椎病 神经根型颈椎病
颈椎病 颈型颈椎病
腰肌劳损 筋膜炎
腰肌劳损 椎管狭窄症
尿路感染 肾盂肾炎
尿路感染 肾炎
尿路感染 肾周围炎
尿路感染 尿路梗阻
尿路感染 血尿
股骨头坏死 骨关节炎
股骨头坏死 瘫痪
精神分裂症 心脏病
精神分裂症 心力衰竭
早孕反应 食管穿孔
食道癌 黄疸
食道癌 吸入性肺炎
食道癌 肥大性骨关节病
食道癌 食管穿孔
麦粒肿 nan
鼻咽癌 nan
急性胰腺炎 nan
胆囊炎 老年人胆囊炎
胆囊炎 妊娠合并急性胆囊炎
胆囊炎 急性胆囊炎
胆囊炎 小儿急性胆囊炎
胆囊炎 慢性胆囊炎
地中海贫血 肝硬化
地中海贫血 贫血
地中海贫血 肝炎
地中海贫血 积聚
地中海贫血 溶血
子宫内膜癌 子宫肌瘤
子宫内膜癌 多囊卵巢综合征
子宫内膜癌 功血
动脉硬化 高血压
动脉硬化 心绞痛
动脉硬化 猝死
动脉硬化 神经衰弱
扁平疣 nan
神经衰弱 月经不调
神经衰弱 便秘
神经衰弱 植物神经紊乱
神经衰弱 阳痿
神经衰弱 拉肚子
尿道炎 盆腔炎
尿道炎 前列腺炎
尿道炎 附睾炎
尿道炎 膀胱炎
尿道炎 尿道狭窄
性欲亢进 前列腺炎
哮喘 肺气肿
哮喘 气胸
哮喘 猝死
哮喘 肺水肿
哮喘 消化道出血
尿毒症 肺水肿
尿毒症 贫血
尿毒症 高血压
尿毒症 糖尿病
尿毒症 高钾血症
流产 失血性休克
流产 休克
流产 腹膜炎
流产 败血症
流产 盆腔结缔组织炎
低血压 眩晕
低血压 心绞痛
低血压 尿道癌
低血压 人流后妇科病
低血压 女性尿道癌
不孕症 子宫肌瘤
不孕症 阴道横隔
不孕症 急性子宫内膜炎
不孕症 乳腺增生
不孕症 早泄
肾虚 肾虚眩晕
肾虚 肾虚腰痛
肾虚 肾虚耳鸣
肾虚 肾精亏虚
